,Dating,DAT_min,DAT_max
1,Roman Imp. period,-31,395
2,Late Roman Imp./                  Early Byzantine period,193,565
3,Late Roman Imp. period,193,395
4,Late Hellenistic/                Early Roman Imp. period,-150,69
5,Late Hellenistic period,-150,-74
6,Early/Middle Roman Imp. p.,-31,192
7,Early Roman Imp. period,-31,69
8,Byzantine period,395,799
9,NA,NA,NA
10,Roman Imperial period,-31,395
11,Hellenistic period,-336,-74
12,Early Roman period,-74,-31
13,"Chr.-""Byz.",100,799
14,AD,1,799
15,Christian,300,799
16,Antonine or Severan,96,235
17,Roman period,-74,395
18,Roman,-74,395
19,early Byzantine period,395,565
20,Middle Roman Imp. period,69,192
21,Late Roman Imp. p.,193,395
22,Late Hellenistic/                 Early Roman imp. period,-150,69
23,Late Hellenistic/                  Early Roman imp. period,-150,69
24,Late Hellenistic,-150,-74
25,Early Byzantine period,395,565
26,Roman Imp. period ,-31,395
27,Late Hellenistic/                 Early Roman Imp. period,-150,69
28,Late Hellenistic/                  Early Roman Imp. period,-150,69
29,Late Hellenistic/                   Early Roman Imp. period,-150,69
30,Early Roman,-74,-31
